name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid,naf_officiel,activite_differe
QCJ,12762,6820B,,Location Immobilière,2024-02-19,0,DF82E9DD-8287-EE11-8179-000D3ADF74F0,Location de terrains et d'autres biens immobiliers,True
LMD FITNESS,12788,9313Z,,Salle de sport,2024-04-15,2,087AE0B1-2C8D-EE11-8179-000D3ADF74F0,Activités des centres de culture physique,True
LA CASA DEL PAPOU,12791,5610A,,Restauration,2024-03-16,2,FAEDD01E-D68D-EE11-8179-000D3ADF74F0,Restauration traditionnelle,True
CHERIBET AMEL,12812,NAN,,Médécin,2025-01-06,0,F51FFA58-2090-EE11-8179-000D3ADF74F0,,True
DULUARD ALEXANDRE,11880,4399C,,Travaux de maçonnerie et gros œuvre de bâtiment,2023-03-27,0,18D16928-4BC2-ED11-83FF-000D3ADF74F0,Travaux de maçonnerie générale et gros œuvre de bâtiment,True
CHANZY TAMPONS,11889,1813Z,,Activités de pré-presse,2023-04-27,8,B1C61FEA-D0C3-ED11-83FF-000D3ADF74F0,Activités de pré-presse ,True
SOCIETE PLUMAS,12078,4322B,,Travaux d'installation d'équipements thermiques,2023-06-27,11,AFF2C5EA-7EEA-ED11-8849-000D3ADF74F0,Travaux d'installation d'équipements thermiques et de climatisation,True
BVG EL,12107,6820B,,Activité immobilières,2024-06-27,0,CDA4D586-FCEF-ED11-8849-000D3ADF74F0,Location de terrains et d'autres biens immobiliers,True
AMIZAH,12115,4669C,,Commerce de gros (commerce interentreprises) de fournitures,2023-12-15,0,60F12A3F-D9F0-ED11-8849-000D3ADF74F0,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,True
BRILLANTISSIME,12124,NAN,,,2023-06-05,0,6ABF7E50-29F3-ED11-8849-000D3ADF74F0,,True
ANJOU ESSENCES BOIS,12623,4673A,,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,2024-01-09,1,ABF470F6-D162-EE11-8DF0-000D3ADF74F0,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction ,True
LES ALBIZIAS,12254,6820B,,"L'acquisition, la construction et la propriété de tous biens immobiliers",2024-06-13,0,0A6875A5-650F-EE11-8F6D-000D3ADF74F0,Location de terrains et d'autres biens immobiliers,True
DUFOURNEAU,12299,7112B,,Etudes techniques assainissement autonome,2023-11-30,0,6B164C84-7E1A-EE11-8F6D-000D3ADF74F0,"Ingénierie, études techniques",True
Holding les 3 M,12303,7010Z,,Activité des sociétés Holding,2024-01-22,0,0AD4002A-271B-EE11-8F6D-000D3ADF74F0,Activités des sièges sociaux,True
MBM FINITION,12201,4333Z,,TRAVAUX DE REVÊTEMENT DES SOLS ET DES MURS,2023-06-16,17,24B0381A-F405-EE11-8F6E-000D3ADF74F0,Travaux de revêtement des sols et des murs,True
BEGOU-AIE,12216,6820B,,LOCATION DE TERRAINS ET D'AUTRES BIENS IMMOBILIERS,2023-07-10,0,537AAA7E-0D09-EE11-8F6E-000D3ADF74F0,Location de terrains et d'autres biens immobiliers,True
